chunk_size,overlap,model,query,expected,hit@1,hit@3,hit@5,mrr,top_topics,top1_score,gap_1_2
800,80,MPNet,Explain retrieval augmented generation in simple terms,RAG,1.0,1.0,1.0,1.0,"['RAG', 'HyDE', 'Evaluation', 'RAG', 'RAG']",0.6321811079978943,0.15980267524719238
800,80,MPNet,How does retrieval reduce hallucinations?,RAG,1.0,1.0,1.0,1.0,"['RAG', 'RAG', 'RAG', 'Evaluation', 'Chunking']",0.1787140667438507,0.030354201793670654
800,80,MPNet,What is the advantage of RAG over fine-tuning?,RAG,1.0,1.0,1.0,1.0,"['RAG', 'Evaluation', 'RAG', 'Chunking', 'Embeddings']",0.39482539892196655,0.10429871082305908
800,80,MPNet,What is chunking and why do we use overlap?,Chunking,1.0,1.0,1.0,1.0,"['Chunking', 'Chunking', 'RAG', 'HyDE', 'Evaluation']",0.5491010546684265,0.014178216457366943
800,80,MPNet,How does chunk size affect retrieval quality?,Chunking,1.0,1.0,1.0,1.0,"['Chunking', 'Chunking', 'Evaluation', 'Embeddings', 'RAG']",0.5591299533843994,0.17849838733673096
800,80,MPNet,What is recursive character text splitting?,Chunking,1.0,1.0,1.0,1.0,"['Chunking', 'Chunking', 'Embeddings', 'HyDE', 'RAG']",0.7990330457687378,0.3937048017978668
800,80,MPNet,What are text embeddings and how do they work?,Embeddings,1.0,1.0,1.0,1.0,"['Embeddings', 'Chunking', 'Chunking', 'HyDE', 'VectorDB']",0.5781331062316895,0.10551124811172485
800,80,MPNet,Which embedding models are popular for RAG?,Embeddings,1.0,1.0,1.0,1.0,"['Embeddings', 'RAG', 'Evaluation', 'VectorDB', 'Chunking']",0.6085334420204163,0.18143293261528015
800,80,MPNet,What is FAISS and how does it work?,VectorDB,1.0,1.0,1.0,1.0,"['VectorDB', 'Evaluation', 'RAG', 'RAG', 'RAG']",0.2173236608505249,0.008296430110931396
800,80,MPNet,What are the different FAISS index types?,VectorDB,1.0,1.0,1.0,1.0,"['VectorDB', 'Evaluation', 'Embeddings', 'RAG', 'Chunking']",0.2601870894432068,0.03343813121318817
800,80,MPNet,What is HyDE in retrieval?,HyDE,1.0,1.0,1.0,1.0,"['HyDE', 'Evaluation', 'RAG', 'RAG', 'Chunking']",0.4175461530685425,0.14521044492721558
800,80,MPNet,How does hypothetical document embedding improve search?,HyDE,1.0,1.0,1.0,1.0,"['HyDE', 'Embeddings', 'Chunking', 'VectorDB', 'RAG']",0.6620439887046814,0.03946024179458618
800,80,MPNet,How do we evaluate retrieval quality?,Evaluation,1.0,1.0,1.0,1.0,"['Evaluation', 'RAG', 'Embeddings', 'HyDE', 'Chunking']",0.6595370173454285,0.313528835773468
800,80,MPNet,What is Mean Reciprocal Rank (MRR)?,Evaluation,1.0,1.0,1.0,1.0,"['Evaluation', 'RAG', 'Embeddings', 'Chunking', 'RAG']",0.3417859971523285,0.16675418615341187
800,80,MPNet,Why does adding retrieved context help LLM answers stay accurate?,RAG,1.0,1.0,1.0,1.0,"['RAG', 'RAG', 'HyDE', 'RAG', 'Evaluation']",0.4275661110877991,0.07189539074897766
800,80,MPNet,Does overlap always improve retrieval precision?,Chunking,0.0,1.0,1.0,0.3333333333333333,"['Evaluation', 'RAG', 'Chunking', 'VectorDB', 'HyDE']",0.3194406032562256,0.002881348133087158
800,80,MPNet,Should I retrain my model or just add a search layer?,RAG,1.0,1.0,1.0,1.0,"['RAG', 'RAG', 'VectorDB', 'RAG', 'Embeddings']",0.3242405652999878,0.0436343252658844
800,80,MPNet,When is updating model weights better than external retrieval?,RAG,1.0,1.0,1.0,1.0,"['RAG', 'RAG', 'Evaluation', 'RAG', 'Embeddings']",0.3716016709804535,0.00017198920249938965
800,80,MPNet,Can retrieval completely replace parameter updates for domain adaptation?,RAG,1.0,1.0,1.0,1.0,"['RAG', 'RAG', 'RAG', 'Evaluation', 'Chunking']",0.45537182688713074,0.04405871033668518
800,80,MPNet,What happens if my chunks are too small to contain a complete answer?,Chunking,1.0,1.0,1.0,1.0,"['Chunking', 'Chunking', 'HyDE', 'RAG', 'RAG']",0.3276626467704773,0.03600090742111206
800,80,MPNet,Does splitting documents always improve search precision?,Chunking,1.0,1.0,1.0,1.0,"['Chunking', 'Chunking', 'HyDE', 'Embeddings', 'Evaluation']",0.567649245262146,0.11599481105804443
800,80,MPNet,How do I handle tables and code blocks when segmenting documents?,Chunking,1.0,1.0,1.0,1.0,"['Chunking', 'Chunking', 'Embeddings', 'HyDE', 'RAG']",0.4852294921875,0.003956317901611328
800,80,MPNet,Is generating a fake answer before search the same as fine-tuning?,HyDE,1.0,1.0,1.0,1.0,"['HyDE', 'RAG', 'RAG', 'Evaluation', 'RAG']",0.3447498083114624,0.03768572211265564
800,80,MPNet,Why would I want the LLM to hallucinate before retrieval?,HyDE,0.0,1.0,1.0,0.3333333333333333,"['RAG', 'RAG', 'HyDE', 'Evaluation', 'RAG']",0.16076676547527313,0.0075253695249557495
800,80,MPNet,Does HyDE work when the query uses jargon the LLM doesn't know?,HyDE,1.0,1.0,1.0,1.0,"['HyDE', 'RAG', 'Evaluation', 'RAG', 'Chunking']",0.5220791101455688,0.23934003710746765
800,80,MPNet,Why do two semantically similar sentences sometimes have low cosine scores?,Embeddings,1.0,1.0,1.0,1.0,"['Embeddings', 'Evaluation', 'HyDE', 'VectorDB', 'Chunking']",0.2735658884048462,0.0483294278383255
800,80,MPNet,Can inner product and cosine similarity give different ranking results?,Embeddings,0.0,1.0,1.0,0.5,"['VectorDB', 'Embeddings', 'Evaluation', 'HyDE', 'Chunking']",0.3807494342327118,0.10155466198921204
